Source,Target,Count,Stage
I95,L89,77.0,d2-d3
I20,I95,10304.0,d1-d2
I95,J69,252.0,d2-d3
I20,I95,10304.0,d1-d2
I95,I62,62.0,d2-d3
I20,I95,10304.0,d1-d2
I95,F39,30.0,d2-d3
I20,J81,4734.0,d1-d2
I20,I27,2529.0,d1-d2
I27,I46,93.0,d2-d3
I20,I27,2529.0,d1-d2
I27,A41,144.0,d2-d3
I20,I22,3819.0,d1-d2
I20,I72,739.0,d1-d2
I48,I46,6501.0,d1-d2
I48,B95,8407.0,d1-d2
B95,J69,264.0,d2-d3
I48,B95,8407.0,d1-d2
B95,I46,182.0,d2-d3
I48,F06,6656.0,d1-d2
F06,A41,507.0,d2-d3
I48,F06,6656.0,d1-d2
F06,F01,697.0,d2-d3
F01,J69,47.0,d3-d4
I48,F06,6656.0,d1-d2
F06,F03,1252.0,d2-d3
F03,F01,121.0,d3-d4
I48,F06,6656.0,d1-d2
F06,F03,1252.0,d2-d3
F03,G30,74.0,d3-d4
I48,F06,6656.0,d1-d2
F06,F03,1252.0,d2-d3
F03,J69,89.0,d3-d4
I48,F06,6656.0,d1-d2
F06,F03,1252.0,d2-d3
F03,F00,52.0,d3-d4
I48,F06,6656.0,d1-d2
F06,J69,413.0,d2-d3
I48,F06,6656.0,d1-d2
F06,F02,34.0,d2-d3
I48,A09,6511.0,d1-d2
A09,J69,259.0,d2-d3
I48,J69,9036.0,d1-d2
I48,F05,13291.0,d1-d2
F05,J69,852.0,d2-d3
I48,F01,8094.0,d1-d2
F01,J69,520.0,d2-d3
I48,A49,4261.0,d1-d2
I48,A04,5617.0,d1-d2
I48,I61,3130.0,d1-d2
I61,I69,202.0,d2-d3
I69,J18,32.0,d3-d4
I48,E16,3074.0,d1-d2
E16,J69,135.0,d2-d3
I48,E16,3074.0,d1-d2
E16,A41,340.0,d2-d3
I48,E16,3074.0,d1-d2
E16,I46,91.0,d2-d3
I48,I62,1813.0,d1-d2
I48,N17,33527.0,d1-d2
N17,J69,1380.0,d2-d3
I48,N17,33527.0,d1-d2
N17,F39,111.0,d2-d3
I48,A41,19352.0,d1-d2
I48,I67,18664.0,d1-d2
I67,I46,308.0,d2-d3
I48,I67,18664.0,d1-d2
I67,A41,1210.0,d2-d3
I48,I67,18664.0,d1-d2
I67,J69,1133.0,d2-d3
I48,I69,5615.0,d1-d2
I69,J69,365.0,d2-d3
I48,I69,5615.0,d1-d2
I69,E86,237.0,d2-d3
E86,J69,23.0,d3-d4
I48,I69,5615.0,d1-d2
I69,N17,416.0,d2-d3
N17,J69,42.0,d3-d4
I48,I69,5615.0,d1-d2
I69,J18,810.0,d2-d3
J18,J69,52.0,d3-d4
I48,I69,5615.0,d1-d2
I69,A41,356.0,d2-d3
I48,D68,2455.0,d1-d2
D64,J18,23167.0,d1-d2
J18,J69,779.0,d2-d3
D64,C80,2776.0,d1-d2
C80,D70,75.0,d2-d3
D64,J69,4315.0,d1-d2
D64,J96,3679.0,d1-d2
D64,I46,2793.0,d1-d2
D64,K72,1201.0,d1-d2
D64,G93,1016.0,d1-d2
D64,D53,922.0,d1-d2
D64,A41,13656.0,d1-d2
D64,K55,3133.0,d1-d2
K55,K91,51.0,d2-d3
D64,D63,3971.0,d1-d2
D64,A49,3289.0,d1-d2
D64,K65,1688.0,d1-d2
K65,I46,51.0,d2-d3
D64,K65,1688.0,d1-d2
K65,K43,45.0,d2-d3
D64,D59,509.0,d1-d2
D64,J17,402.0,d1-d2
D64,C26,553.0,d1-d2
N39,J18,45666.0,d1-d2
J18,J69,2230.0,d2-d3
N39,J69,12395.0,d1-d2
N39,J15,2180.0,d1-d2
N39,F01,14932.0,d1-d2
F01,J69,1046.0,d2-d3
N39,L89,5250.0,d1-d2
N39,J10,2178.0,d1-d2
N39,F02,1766.0,d1-d2
N39,J17,667.0,d1-d2
K59,J18,19051.0,d1-d2
J18,J69,929.0,d2-d3
K59,A41,10093.0,d1-d2
K59,J69,5175.0,d1-d2
K59,J15,1024.0,d1-d2
K59,L89,2009.0,d1-d2
D50,A41,7056.0,d1-d2
D50,F03,6349.0,d1-d2
F03,F01,517.0,d2-d3
F01,J69,33.0,d3-d4
D50,F03,6349.0,d1-d2
F03,G30,472.0,d2-d3
G30,J69,23.0,d3-d4
D50,F03,6349.0,d1-d2
F03,J69,302.0,d2-d3
D50,F03,6349.0,d1-d2
F03,F02,46.0,d2-d3
D50,J18,14715.0,d1-d2
J18,J69,565.0,d2-d3
D50,J96,2544.0,d1-d2
D50,E86,3597.0,d1-d2
E86,J69,160.0,d2-d3
D50,E86,3597.0,d1-d2
E86,I46,49.0,d2-d3
D50,C78,4497.0,d1-d2
C78,D70,107.0,d2-d3
D50,C78,4497.0,d1-d2
C78,A41,241.0,d2-d3
D50,C78,4497.0,d1-d2
C78,D69,23.0,d2-d3
D50,D63,2363.0,d1-d2
D50,K56,3032.0,d1-d2
K56,I46,45.0,d2-d3
D50,K66,838.0,d1-d2
D50,C77,1917.0,d1-d2
C77,A41,117.0,d2-d3
D50,C77,1917.0,d1-d2
C77,D70,68.0,d2-d3
D50,C77,1917.0,d1-d2
C77,I26,74.0,d2-d3
D50,C77,1917.0,d1-d2
C77,D63,150.0,d2-d3
D50,C77,1917.0,d1-d2
C77,E86,40.0,d2-d3
D50,C77,1917.0,d1-d2
C77,J91,38.0,d2-d3
D50,C77,1917.0,d1-d2
C77,K43,26.0,d2-d3
D50,J91,1704.0,d1-d2
J91,I46,52.0,d2-d3
D50,C19,802.0,d1-d2
C19,A41,52.0,d2-d3
D50,C19,802.0,d1-d2
C19,E86,25.0,d2-d3
D50,C19,802.0,d1-d2
C19,K66,22.0,d2-d3
D50,C19,802.0,d1-d2
C19,I26,28.0,d2-d3
D50,D46,848.0,d1-d2
D46,A41,99.0,d2-d3
D50,D46,848.0,d1-d2
D46,D70,44.0,d2-d3
D50,D46,848.0,d1-d2
D46,D63,60.0,d2-d3
D50,I46,1657.0,d1-d2
D50,K65,838.0,d1-d2
K65,I46,25.0,d2-d3
D50,K65,838.0,d1-d2
K65,K43,27.0,d2-d3
D50,C80,1595.0,d1-d2
C80,D70,32.0,d2-d3
D50,L89,1119.0,d1-d2
D50,K55,2844.0,d1-d2
K55,K91,43.0,d2-d3
D50,F05,4763.0,d1-d2
F05,J69,306.0,d2-d3
D50,A49,1900.0,d1-d2
D50,G93,619.0,d1-d2
D50,J10,710.0,d1-d2
D50,C22,439.0,d1-d2
C22,A41,33.0,d2-d3
D50,C22,439.0,d1-d2
C22,K72,34.0,d2-d3
D50,K72,651.0,d1-d2
D50,C26,440.0,d1-d2
D50,N80,498.0,d1-d2
I67,A41,7187.0,d1-d2
I67,I46,1676.0,d1-d2
I67,J69,6532.0,d1-d2
J44,A41,13591.0,d1-d2
J44,B95,7645.0,d1-d2
B95,I46,190.0,d2-d3
J44,B95,7645.0,d1-d2
B95,J69,278.0,d2-d3
J44,K59,13452.0,d1-d2
K59,A41,938.0,d2-d3
J44,K59,13452.0,d1-d2
K59,J18,2444.0,d2-d3
J18,J69,112.0,d3-d4
J44,K59,13452.0,d1-d2
K59,J69,526.0,d2-d3
J44,K59,13452.0,d1-d2
K59,J15,189.0,d2-d3
J44,K59,13452.0,d1-d2
K59,L89,163.0,d2-d3
J44,J69,6358.0,d1-d2
J44,E86,6326.0,d1-d2
E86,I46,115.0,d2-d3
J44,E86,6326.0,d1-d2
E86,J69,296.0,d2-d3
J44,C79,7554.0,d1-d2
C79,D63,165.0,d2-d3
J44,C79,7554.0,d1-d2
C79,A41,353.0,d2-d3
J44,A49,3906.0,d1-d2
J44,E83,3520.0,d1-d2
E83,I46,55.0,d2-d3
J44,E83,3520.0,d1-d2
E83,J69,121.0,d2-d3
J44,E83,3520.0,d1-d2
E83,D35,29.0,d2-d3
J44,A04,4532.0,d1-d2
J44,I46,4581.0,d1-d2
J44,F06,4197.0,d1-d2
F06,F03,741.0,d2-d3
F03,F01,80.0,d3-d4
J44,F06,4197.0,d1-d2
F06,F03,741.0,d2-d3
F03,F00,41.0,d3-d4
J44,F06,4197.0,d1-d2
F06,F03,741.0,d2-d3
F03,G30,51.0,d3-d4
J44,F06,4197.0,d1-d2
F06,F03,741.0,d2-d3
F03,J69,48.0,d3-d4
J44,F06,4197.0,d1-d2
F06,F01,421.0,d2-d3
F01,J69,40.0,d3-d4
J44,F06,4197.0,d1-d2
F06,J69,281.0,d2-d3
J44,F06,4197.0,d1-d2
F06,A41,310.0,d2-d3
J44,F06,4197.0,d1-d2
F06,F02,29.0,d2-d3
J44,A08,1610.0,d1-d2
J44,D68,951.0,d1-d2
J44,N17,22382.0,d1-d2
N17,J69,921.0,d2-d3
J44,N17,22382.0,d1-d2
N17,F39,73.0,d2-d3
J44,B96,16726.0,d1-d2
B96,J69,578.0,d2-d3
J44,B96,16726.0,d1-d2
B96,I46,309.0,d2-d3
J44,E87,15599.0,d1-d2
E87,I46,379.0,d2-d3
J44,E87,15599.0,d1-d2
E87,J69,550.0,d2-d3
J44,J96,22697.0,d1-d2
J44,J18,52355.0,d1-d2
J18,J69,1525.0,d2-d3
J44,N19,6635.0,d1-d2
N19,N18,1028.0,d2-d3
N18,A41,95.0,d3-d4
J44,N19,6635.0,d1-d2
N19,N18,1028.0,d2-d3
N18,B95,53.0,d3-d4
J44,N19,6635.0,d1-d2
N19,N18,1028.0,d2-d3
N18,F05,36.0,d3-d4
J44,N19,6635.0,d1-d2
N19,N18,1028.0,d2-d3
N18,I46,34.0,d3-d4
J44,N19,6635.0,d1-d2
N19,N18,1028.0,d2-d3
N18,A49,37.0,d3-d4
J44,N19,6635.0,d1-d2
N19,I46,192.0,d2-d3
J44,N19,6635.0,d1-d2
N19,I12,196.0,d2-d3
I12,J18,44.0,d3-d4
J44,N19,6635.0,d1-d2
N19,I12,196.0,d2-d3
I12,A41,26.0,d3-d4
J44,N19,6635.0,d1-d2
N19,N03,84.0,d2-d3
N03,J18,20.0,d3-d4
J44,I27,8436.0,d1-d2
I27,A41,445.0,d2-d3
J44,I27,8436.0,d1-d2
I27,I46,250.0,d2-d3
J44,F05,7930.0,d1-d2
F05,J69,535.0,d2-d3
J44,F41,8360.0,d1-d2
F41,F03,298.0,d2-d3
F03,F01,29.0,d3-d4
J44,F41,8360.0,d1-d2
F41,F03,298.0,d2-d3
F03,J69,20.0,d3-d4
J44,F41,8360.0,d1-d2
F41,J18,1353.0,d2-d3
J18,J69,39.0,d3-d4
J44,J15,3083.0,d1-d2
J44,K55,2515.0,d1-d2
K55,K91,75.0,d2-d3
J44,A09,5709.0,d1-d2
A09,J69,206.0,d2-d3
J44,J91,4228.0,d1-d2
J91,I46,103.0,d2-d3
J44,J81,5672.0,d1-d2
J44,B37,4134.0,d1-d2
B37,J69,164.0,d2-d3
J44,F39,476.0,d1-d2
J44,J17,773.0,d1-d2
F10,N39,10612.0,d1-d2
N39,J18,1339.0,d2-d3
J18,J69,69.0,d3-d4
F10,N39,10612.0,d1-d2
N39,J69,441.0,d2-d3
F10,N39,10612.0,d1-d2
N39,L89,180.0,d2-d3
F10,N39,10612.0,d1-d2
N39,F01,382.0,d2-d3
F01,J69,32.0,d3-d4
F10,N39,10612.0,d1-d2
N39,J15,76.0,d2-d3
F10,N39,10612.0,d1-d2
N39,F02,28.0,d2-d3
F10,N39,10612.0,d1-d2
N39,J17,26.0,d2-d3
F10,N39,10612.0,d1-d2
N39,J10,43.0,d2-d3
F10,J90,3457.0,d1-d2
J90,I46,86.0,d2-d3
F10,J90,3457.0,d1-d2
J90,J69,140.0,d2-d3
F10,B96,5582.0,d1-d2
B96,J69,203.0,d2-d3
F10,B96,5582.0,d1-d2
B96,I46,93.0,d2-d3
F10,D50,3565.0,d1-d2
D50,A41,271.0,d2-d3
F10,D50,3565.0,d1-d2
D50,A49,77.0,d2-d3
F10,D50,3565.0,d1-d2
D50,I46,59.0,d2-d3
F10,D50,3565.0,d1-d2
D50,J18,462.0,d2-d3
J18,J69,28.0,d3-d4
F10,D50,3565.0,d1-d2
D50,K72,102.0,d2-d3
F10,D50,3565.0,d1-d2
D50,C80,44.0,d2-d3
F10,D50,3565.0,d1-d2
D50,G93,66.0,d2-d3
F10,D50,3565.0,d1-d2
D50,J96,93.0,d2-d3
F10,D50,3565.0,d1-d2
D50,L89,38.0,d2-d3
F10,D50,3565.0,d1-d2
D50,K91,21.0,d2-d3
F10,D50,3565.0,d1-d2
D50,J91,45.0,d2-d3
F10,D50,3565.0,d1-d2
D50,D63,41.0,d2-d3
F10,L03,5349.0,d1-d2
L03,A41,428.0,d2-d3
F10,L03,5349.0,d1-d2
L03,A04,96.0,d2-d3
F10,L03,5349.0,d1-d2
L03,J18,546.0,d2-d3
J18,J69,22.0,d3-d4
F10,L03,5349.0,d1-d2
L03,M86,71.0,d2-d3
F10,L03,5349.0,d1-d2
L03,J96,130.0,d2-d3
F10,L03,5349.0,d1-d2
L03,K72,112.0,d2-d3
F10,L03,5349.0,d1-d2
L03,L89,79.0,d2-d3
F10,L03,5349.0,d1-d2
L03,J15,40.0,d2-d3
F10,L03,5349.0,d1-d2
L03,J10,21.0,d2-d3
F10,A41,5727.0,d1-d2
F10,A04,2056.0,d1-d2
F10,A09,2439.0,d1-d2
A09,J69,105.0,d2-d3
F10,J96,2843.0,d1-d2
F10,N19,2305.0,d1-d2
N19,N18,249.0,d2-d3
N18,A41,34.0,d3-d4
F10,N19,2305.0,d1-d2
N19,N18,249.0,d2-d3
N18,B95,23.0,d3-d4
F10,N19,2305.0,d1-d2
N19,I46,90.0,d2-d3
F10,K21,5280.0,d1-d2
K21,K64,27.0,d2-d3
F10,K21,5280.0,d1-d2
K21,K83,59.0,d2-d3
F10,C34,2246.0,d1-d2
C34,J22,249.0,d2-d3
J22,J18,35.0,d3-d4
F10,C34,2246.0,d1-d2
C34,J91,107.0,d2-d3
F10,C34,2246.0,d1-d2
C34,I26,70.0,d2-d3
F10,C34,2246.0,d1-d2
C34,C78,447.0,d2-d3
C78,A41,21.0,d3-d4
F10,C34,2246.0,d1-d2
C34,D63,48.0,d2-d3
F10,C34,2246.0,d1-d2
C34,C77,198.0,d2-d3
C77,J18,28.0,d3-d4
F10,C34,2246.0,d1-d2
C34,C77,198.0,d2-d3
C77,J22,24.0,d3-d4
F10,C34,2246.0,d1-d2
C34,J96,61.0,d2-d3
F10,C34,2246.0,d1-d2
C34,J98,120.0,d2-d3
J98,C79,21.0,d3-d4
F10,C34,2246.0,d1-d2
C34,D70,71.0,d2-d3
F10,C34,2246.0,d1-d2
C34,G95,20.0,d2-d3
F10,C34,2246.0,d1-d2
C34,M90,24.0,d2-d3
F10,B37,1206.0,d1-d2
B37,J69,71.0,d2-d3
F10,I46,1791.0,d1-d2
F10,F01,1831.0,d1-d2
F01,J69,113.0,d2-d3
F10,L89,856.0,d1-d2
F10,I62,1215.0,d1-d2
F10,G30,1071.0,d1-d2
G30,J69,59.0,d2-d3
F10,F00,807.0,d1-d2
F00,J69,43.0,d2-d3
F10,G93,1691.0,d1-d2
F10,M84,1193.0,d1-d2
F10,K65,1197.0,d1-d2
K65,I46,41.0,d2-d3
F10,K65,1197.0,d1-d2
K65,K43,43.0,d2-d3
F10,L97,1458.0,d1-d2
L97,A41,207.0,d2-d3
F10,L97,1458.0,d1-d2
L97,I46,32.0,d2-d3
F10,L97,1458.0,d1-d2
L97,J69,67.0,d2-d3
F10,L97,1458.0,d1-d2
L97,J96,48.0,d2-d3
F10,E46,1068.0,d1-d2
F10,A49,1545.0,d1-d2
F10,I86,949.0,d1-d2
I86,K72,106.0,d2-d3
F10,I86,949.0,d1-d2
I86,A41,113.0,d2-d3
F10,K72,1989.0,d1-d2
F10,K76,7751.0,d1-d2
K76,G93,310.0,d2-d3
F10,K76,7751.0,d1-d2
K76,I46,153.0,d2-d3
F10,K76,7751.0,d1-d2
K76,J69,229.0,d2-d3
F10,K76,7751.0,d1-d2
K76,J96,213.0,d2-d3
F10,K76,7751.0,d1-d2
K76,K72,534.0,d2-d3
F10,K76,7751.0,d1-d2
K76,A49,169.0,d2-d3
F10,E87,8974.0,d1-d2
E87,I46,223.0,d2-d3
F10,E87,8974.0,d1-d2
E87,J69,373.0,d2-d3
F10,K70,14357.0,d1-d2
K70,J18,1661.0,d2-d3
J18,J69,68.0,d3-d4
F10,K70,14357.0,d1-d2
K70,A04,409.0,d2-d3
F10,K70,14357.0,d1-d2
K70,K59,545.0,d2-d3
K59,A41,63.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K59,545.0,d2-d3
K59,J18,64.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K59,545.0,d2-d3
K59,J69,24.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,G31,113.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,J90,100.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,E87,234.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,N17,257.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,K72,180.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,J69,56.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,G93,106.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,K65,113.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,E86,49.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,A41,195.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K31,1649.0,d2-d3
K31,N19,66.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,N39,144.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,A41,195.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,K59,91.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,K65,105.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,J18,185.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,I98,434.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,G93,119.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,E87,171.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,K72,206.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,G31,104.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,N17,225.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,E86,48.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,J90,98.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,J22,132.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,J69,73.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,B95,77.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,N18,50.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I85,1681.0,d2-d3
I85,N19,75.0,d3-d4
F10,K70,14357.0,d1-d2
K70,A41,1382.0,d2-d3
F10,K70,14357.0,d1-d2
K70,G31,842.0,d2-d3
G31,A41,96.0,d3-d4
F10,K70,14357.0,d1-d2
K70,G31,842.0,d2-d3
G31,J18,114.0,d3-d4
F10,K70,14357.0,d1-d2
K70,G31,842.0,d2-d3
G31,J69,48.0,d3-d4
F10,K70,14357.0,d1-d2
K70,N18,331.0,d2-d3
N18,A41,51.0,d3-d4
F10,K70,14357.0,d1-d2
K70,B95,489.0,d2-d3
B95,I46,25.0,d3-d4
F10,K70,14357.0,d1-d2
K70,B95,489.0,d2-d3
B95,J69,22.0,d3-d4
F10,K70,14357.0,d1-d2
K70,N19,538.0,d2-d3
N19,N17,64.0,d3-d4
F10,K70,14357.0,d1-d2
K70,N19,538.0,d2-d3
N19,N18,44.0,d3-d4
F10,K70,14357.0,d1-d2
K70,N19,538.0,d2-d3
N19,I46,27.0,d3-d4
F10,K70,14357.0,d1-d2
K70,G93,557.0,d2-d3
F10,K70,14357.0,d1-d2
K70,K65,616.0,d2-d3
K65,I46,25.0,d3-d4
F10,K70,14357.0,d1-d2
K70,E86,423.0,d2-d3
E86,J69,23.0,d3-d4
F10,K70,14357.0,d1-d2
K70,J96,470.0,d2-d3
F10,K70,14357.0,d1-d2
K70,N17,1740.0,d2-d3
N17,J69,86.0,d3-d4
F10,K70,14357.0,d1-d2
K70,D68,312.0,d2-d3
F10,K70,14357.0,d1-d2
K70,I46,342.0,d2-d3
F10,K70,14357.0,d1-d2
K70,I86,588.0,d2-d3
I86,J18,71.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I86,588.0,d2-d3
I86,K72,79.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I86,588.0,d2-d3
I86,A41,72.0,d3-d4
F10,K70,14357.0,d1-d2
K70,I86,588.0,d2-d3
I86,N17,83.0,d3-d4
F10,K70,14357.0,d1-d2
K70,K42,187.0,d2-d3
F10,K70,14357.0,d1-d2
K70,K72,1010.0,d2-d3
F10,K70,14357.0,d1-d2
K70,J69,521.0,d2-d3
F10,K70,14357.0,d1-d2
K70,A49,324.0,d2-d3
F10,J18,11839.0,d1-d2
J18,J69,510.0,d2-d3
F10,J22,10824.0,d1-d2
J22,J18,1595.0,d2-d3
J18,J69,85.0,d3-d4
F10,J22,10824.0,d1-d2
J22,I46,182.0,d2-d3
F10,J22,10824.0,d1-d2
J22,J96,489.0,d2-d3
F10,J22,10824.0,d1-d2
J22,J69,460.0,d2-d3
F10,J22,10824.0,d1-d2
J22,J15,117.0,d2-d3
F10,J22,10824.0,d1-d2
J22,F39,36.0,d2-d3
F10,D64,6781.0,d1-d2
D64,A41,650.0,d2-d3
F10,D64,6781.0,d1-d2
D64,J18,937.0,d2-d3
J18,J69,35.0,d3-d4
F10,D64,6781.0,d1-d2
D64,A49,163.0,d2-d3
F10,D64,6781.0,d1-d2
D64,J96,193.0,d2-d3
F10,D64,6781.0,d1-d2
D64,D63,66.0,d2-d3
F10,D64,6781.0,d1-d2
D64,K72,215.0,d2-d3
F10,D64,6781.0,d1-d2
D64,G93,143.0,d2-d3
F10,D64,6781.0,d1-d2
D64,J69,256.0,d2-d3
F10,D64,6781.0,d1-d2
D64,I46,135.0,d2-d3
F10,D64,6781.0,d1-d2
D64,J17,24.0,d2-d3
F10,D64,6781.0,d1-d2
D64,C80,58.0,d2-d3
F10,D64,6781.0,d1-d2
D64,D53,34.0,d2-d3
F10,N17,8228.0,d1-d2
N17,J69,459.0,d2-d3
F10,N17,8228.0,d1-d2
N17,F39,51.0,d2-d3
F10,K86,3199.0,d1-d2
K86,A41,204.0,d2-d3
F10,K31,3667.0,d1-d2
K31,G31,167.0,d2-d3
G31,J18,26.0,d3-d4
F10,K31,3667.0,d1-d2
K31,G31,167.0,d2-d3
G31,A41,21.0,d3-d4
F10,K31,3667.0,d1-d2
K31,A41,328.0,d2-d3
F10,K31,3667.0,d1-d2
K31,K72,249.0,d2-d3
F10,K31,3667.0,d1-d2
K31,G93,141.0,d2-d3
F10,K31,3667.0,d1-d2
K31,J69,103.0,d2-d3
F10,K31,3667.0,d1-d2
K31,K43,32.0,d2-d3
F10,K31,3667.0,d1-d2
K31,N19,130.0,d2-d3
N19,N18,23.0,d3-d4
F10,K31,3667.0,d1-d2
K31,C80,23.0,d2-d3
F10,K20,5093.0,d1-d2
K20,J69,132.0,d2-d3
F10,K20,5093.0,d1-d2
K20,K72,115.0,d2-d3
F10,K20,5093.0,d1-d2
K20,K91,20.0,d2-d3
F10,F05,3276.0,d1-d2
F05,J69,201.0,d2-d3
F10,F06,2407.0,d1-d2
F06,F03,340.0,d2-d3
F03,F01,38.0,d3-d4
F10,F06,2407.0,d1-d2
F06,F03,340.0,d2-d3
F03,J69,29.0,d3-d4
F10,F06,2407.0,d1-d2
F06,F03,340.0,d2-d3
F03,G30,25.0,d3-d4
F10,F06,2407.0,d1-d2
F06,J69,154.0,d2-d3
F10,F06,2407.0,d1-d2
F06,A41,182.0,d2-d3
F10,J69,3295.0,d1-d2
F10,G31,3630.0,d1-d2
G31,J18,463.0,d2-d3
J18,J69,31.0,d3-d4
F10,G31,3630.0,d1-d2
G31,A41,281.0,d2-d3
F10,G31,3630.0,d1-d2
G31,J69,190.0,d2-d3
F10,G31,3630.0,d1-d2
G31,L89,49.0,d2-d3
F10,E86,3174.0,d1-d2
E86,J69,148.0,d2-d3
F10,E86,3174.0,d1-d2
E86,I46,71.0,d2-d3
F10,I67,4691.0,d1-d2
I67,I46,69.0,d2-d3
F10,I67,4691.0,d1-d2
I67,A41,313.0,d2-d3
F10,I67,4691.0,d1-d2
I67,J69,303.0,d2-d3
F10,I95,4477.0,d1-d2
I95,L89,38.0,d2-d3
F10,I95,4477.0,d1-d2
I95,F03,199.0,d2-d3
F03,F01,22.0,d3-d4
F10,I95,4477.0,d1-d2
I95,J18,623.0,d2-d3
J18,J69,30.0,d3-d4
F10,I95,4477.0,d1-d2
I95,I62,36.0,d2-d3
F10,I95,4477.0,d1-d2
I95,J69,180.0,d2-d3
F10,I95,4477.0,d1-d2
I95,F39,24.0,d2-d3
F10,J98,2846.0,d1-d2
J98,I46,59.0,d2-d3
F10,J98,2846.0,d1-d2
J98,J69,101.0,d2-d3
F10,I85,2874.0,d1-d2
I85,N39,244.0,d2-d3
N39,J18,25.0,d3-d4
F10,I85,2874.0,d1-d2
I85,A41,313.0,d2-d3
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,J18,88.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,K59,43.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,G93,59.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,B95,48.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,N17,104.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,E87,85.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,G31,51.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,K65,47.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,N19,40.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,A41,104.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,K72,85.0,d3-d4
F10,I85,2874.0,d1-d2
I85,I98,727.0,d2-d3
I98,N18,26.0,d3-d4
F10,I85,2874.0,d1-d2
I85,G93,172.0,d2-d3
F10,I85,2874.0,d1-d2
I85,J69,99.0,d2-d3
F10,I85,2874.0,d1-d2
I85,G31,149.0,d2-d3
G31,J18,21.0,d3-d4
F10,I85,2874.0,d1-d2
I85,G31,149.0,d2-d3
G31,A41,22.0,d3-d4
F10,I85,2874.0,d1-d2
I85,K72,316.0,d2-d3
F10,I85,2874.0,d1-d2
I85,J22,214.0,d2-d3
J22,J18,40.0,d3-d4
F10,I85,2874.0,d1-d2
I85,N18,83.0,d2-d3
N18,A41,22.0,d3-d4
F10,F03,3796.0,d1-d2
